"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"121",0,0,0,0,1,0,0,0,0,0
"122",0,1,1,0,0,0,0,0,0,0
"123",0,0,0,1,0,0,0,1,0,0
"124",0,0,0,0,0,1,0,0,1,0
"125",0,1,0,0,0,0,0,0,0,0
"126",0,0,1,0,0,0,0,0,0,0
"127",1,0,0,0,0,0,0,0,0,0
"128",1,1,0,1,1,0,0,0,0,0
"129",0,0,0,0,0,1,0,0,0,1
"130",0,0,0,0,0,0,0,0,1,1
"131",0,0,0,0,0,0,0,0,1,0
"132",1,0,0,0,1,0,0,0,0,0
"133",1,0,1,1,0,1,1,1,0,1
"134",1,1,0,0,0,1,1,1,0,1
"135",1,1,0,1,0,0,0,0,0,0
"136",0,1,0,1,1,0,1,1,1,0
"137",1,0,0,0,1,1,0,1,0,1
"138",1,1,1,0,0,1,1,0,1,1
"139",1,1,1,0,1,1,1,0,0,1
"140",1,1,0,1,0,0,1,0,0,0
"141",1,0,1,1,0,0,0,1,1,0
"142",1,0,0,0,0,1,1,0,1,1
"143",1,1,0,0,1,0,1,1,1,0
"144",0,1,0,0,0,0,0,0,0,0
"145",0,0,1,1,1,1,0,1,1,1
"146",0,0,1,1,0,0,0,0,0,1
"147",0,1,0,1,1,1,0,0,0,0
"148",0,0,1,1,1,0,1,1,0,1
"149",1,0,0,0,1,1,1,0,0,0
"150",0,1,0,0,0,1,0,1,1,0
"151",0,1,1,0,1,1,1,1,1,0
"152",1,0,1,0,0,0,1,0,1,1
"153",0,1,1,1,1,0,0,0,1,0
"154",0,0,0,1,1,0,0,1,1,1
"155",0,0,1,0,0,1,0,1,0,0
"156",0,0,1,1,1,0,0,0,1,1
"157",1,1,0,0,0,0,1,0,0,1
"158",1,0,0,0,0,1,0,0,0,0
"159",0,1,1,1,0,0,1,0,0,0
"160",0,1,1,0,1,0,0,1,0,1
"161",0,0,0,1,0,0,0,0,1,0
"162",0,0,0,1,1,0,0,1,0,0
"163",1,1,0,0,0,0,1,0,0,1
"164",0,0,1,1,0,0,0,1,1,0
"165",0,0,0,0,0,0,1,0,0,0
"166",1,0,1,0,1,1,0,0,0,0
"167",0,0,0,0,0,1,0,0,0,0
"168",0,0,1,0,0,0,0,1,0,1
"169",0,1,1,0,1,0,0,0,1,0
"170",0,0,1,1,0,1,1,0,0,1
"171",1,1,0,0,0,1,1,0,1,0
"172",0,0,1,0,0,1,0,0,0,1
"173",1,0,0,1,1,0,0,1,0,1
"174",1,0,1,0,1,0,0,0,1,0
"175",0,0,0,0,0,0,0,1,1,0
"176",1,0,0,0,0,0,1,0,1,1
"177",1,0,0,0,1,0,1,0,0,0
"178",1,0,0,1,0,1,0,0,0,1
"179",0,1,0,0,1,1,0,0,0,0
"180",0,1,1,1,0,0,1,1,0,0
"181",0,1,0,0,0,0,1,1,0,1
"182",0,0,0,1,0,1,0,0,1,0
"183",1,0,0,1,1,1,1,1,1,0
"184",0,0,1,1,1,1,0,0,0,0
"185",0,0,0,0,0,0,1,1,0,1
"186",1,0,0,1,0,0,0,0,1,1
"187",0,0,0,0,1,0,0,0,0,0
"188",0,1,0,0,1,1,0,0,0,0
"189",0,1,0,0,0,0,0,1,1,0
"190",0,1,1,0,0,0,0,1,1,0
"191",0,1,0,0,0,0,0,0,0,0
"192",0,1,0,0,1,0,0,0,0,0
"193",0,0,0,1,1,0,0,1,1,0
"194",0,0,0,0,0,0,1,0,0,0
"195",1,1,1,0,1,0,0,1,0,0
"196",0,1,0,0,1,0,0,1,1,0
"197",1,0,0,0,0,0,1,0,1,1
"198",0,0,0,0,0,0,0,0,1,0
"199",0,0,1,1,0,1,0,0,0,0
"200",0,0,0,0,1,1,1,0,0,0
"201",1,0,0,1,0,0,0,1,0,0
"202",0,1,0,1,0,0,1,1,0,1
"203",0,1,0,0,1,0,0,0,0,0
"204",0,0,0,0,0,0,0,1,0,0
"205",0,0,0,0,0,0,1,0,1,1
"206",0,0,0,0,0,0,0,1,0,1
"207",0,0,1,1,1,0,1,0,0,1
"208",0,1,0,0,0,1,0,0,0,0
"209",1,1,0,0,0,0,0,0,1,0
"210",0,0,0,0,0,0,0,1,1,0
"211",1,0,0,1,0,0,0,0,0,0
"212",0,0,1,0,0,1,0,0,0,1
"213",0,1,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,1,0,0
"215",0,0,0,0,0,0,0,0,0,0
"216",1,1,1,0,0,0,1,0,0,0
"217",0,0,1,0,1,1,0,0,0,0
"218",0,0,1,0,0,0,0,0,0,0
"219",1,1,1,1,0,0,0,0,1,0
"220",0,0,0,0,1,0,0,1,0,0
"221",0,0,0,1,0,0,1,0,0,0
"222",1,0,0,0,0,0,0,0,0,1
"223",0,0,0,0,0,0,1,0,0,0
"224",0,1,0,0,0,1,0,1,0,0
"225",1,0,1,0,0,0,0,1,0,1
"226",0,0,0,0,0,1,0,0,0,1
"227",1,0,0,0,0,1,0,0,0,0
"228",0,0,1,0,0,0,0,0,0,0
"229",0,1,0,0,0,0,0,0,0,1
"230",0,0,0,0,0,1,0,1,0,0
"231",0,0,1,0,1,0,0,0,0,0
"232",0,0,0,0,0,0,0,0,0,1
"233",0,0,0,0,0,1,1,0,0,1
"234",0,0,0,0,1,0,0,0,0,0
"235",0,0,1,1,1,1,0,0,1,0
"236",0,1,0,0,0,1,0,0,0,0
"237",0,0,0,0,0,0,0,0,1,0
"238",1,0,0,0,0,0,1,0,0,0
"239",0,0,0,0,0,0,0,1,0,1
"240",0,1,0,0,0,0,1,0,1,0
"241",1,0,0,0,0,0,0,1,1,0
"242",1,0,1,0,0,0,0,0,0,1
"243",0,0,0,0,0,0,0,0,0,0
"244",0,0,0,1,1,0,0,0,0,0
"245",0,0,0,0,0,0,0,0,0,0
"246",1,0,0,0,1,0,0,0,1,0
"247",0,0,0,1,0,1,1,0,1,0
"248",0,0,0,1,0,0,1,0,0,0
"249",1,0,1,1,0,1,1,0,0,0
"250",0,0,1,1,1,1,0,0,0,1
"251",0,0,0,1,0,0,0,0,1,0
"252",1,0,0,0,0,0,0,0,1,0
"253",0,0,1,0,0,0,0,0,0,0
"254",0,1,0,0,1,0,0,0,0,0
"255",1,0,1,0,0,0,0,0,0,0
"256",1,1,1,0,0,0,0,0,1,0
"257",1,0,0,1,0,0,0,1,1,1
"258",1,0,1,1,0,0,1,0,0,0
"259",0,0,0,0,1,1,0,0,0,0
"260",0,1,0,0,0,0,0,0,0,1
"261",0,1,0,0,1,1,0,0,1,1
"262",1,0,0,0,0,0,1,0,0,0
"263",0,1,0,0,0,0,0,0,0,1
"264",0,0,1,0,1,0,0,0,0,0
"265",0,0,1,1,0,1,1,0,0,1
"266",0,0,1,1,0,0,1,1,0,0
"267",0,0,0,0,0,1,0,0,1,1
"268",0,0,0,0,1,1,0,1,0,0
"269",0,0,0,0,0,0,1,0,0,0
"270",1,1,0,0,0,1,1,0,0,0
"271",0,0,0,0,0,0,0,0,0,1
"272",1,1,1,1,1,0,0,1,0,0
"273",1,0,0,0,0,0,0,0,0,1
"274",0,1,0,0,0,0,0,0,0,0
"275",0,1,0,0,0,1,1,0,0,0
"276",0,0,0,0,1,1,0,1,0,0
"277",1,0,0,0,0,1,0,0,0,0
"278",0,1,0,0,0,0,0,0,1,0
"279",0,0,0,0,0,0,0,0,0,0
"280",0,0,0,1,0,1,0,1,0,0
"281",1,0,0,0,0,0,0,0,0,1
"282",0,0,0,1,0,0,0,1,0,0
"283",0,0,0,0,0,1,0,1,0,0
"284",1,0,0,0,0,0,0,1,0,0
"285",0,1,0,1,0,1,0,0,1,0
"286",0,0,0,1,0,0,1,0,0,0
"287",1,0,0,0,1,0,1,0,1,0
"288",0,1,1,0,1,0,0,1,1,0
"289",1,0,0,0,0,0,0,0,0,1
"290",1,0,1,1,0,1,0,1,0,0
"291",0,0,1,0,0,0,0,0,1,0
"292",1,0,0,0,1,0,1,0,0,0
"293",0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,1,0,0,0,0
"295",1,0,0,0,0,0,0,1,0,0
"296",0,0,0,0,1,0,0,0,0,0
"297",0,0,1,0,1,0,0,0,0,0
"298",0,0,1,0,0,0,1,1,0,1
"299",0,0,1,0,1,0,0,0,0,0
"300",0,0,0,0,0,0,0,0,0,1
"301",0,0,0,0,0,0,0,0,0,0
"302",0,0,0,1,0,1,0,0,1,0
"303",0,1,1,1,1,1,0,0,1,1
"304",0,1,0,1,0,0,0,0,0,0
"305",0,0,0,0,0,0,1,0,0,0
"306",0,0,0,0,0,1,1,0,1,0
"307",0,1,0,0,1,0,0,0,0,1
"308",0,0,0,1,0,0,0,1,0,0
"309",0,0,1,0,1,0,0,0,1,0
"310",0,0,0,0,0,0,1,0,0,0
"311",0,1,1,1,0,0,0,1,0,1
"312",0,0,1,0,1,0,0,0,0,0
"313",0,0,0,0,0,0,0,1,1,1
"314",1,1,0,0,1,1,1,0,0,1
"315",0,0,0,0,1,1,0,0,0,0
"316",0,0,0,0,0,0,0,1,1,1
"317",0,0,0,0,0,0,0,0,0,0
"318",1,0,0,0,0,0,0,0,1,0
"319",0,0,1,0,0,0,1,1,0,0
"320",0,0,0,0,0,1,1,0,0,0
"321",0,0,0,0,0,0,0,0,1,1
"322",1,0,0,0,0,0,0,0,0,1
"323",0,0,0,1,0,0,0,0,1,0
"324",0,0,0,1,0,0,0,0,0,0
"325",0,0,0,0,0,0,0,0,0,0
"326",0,1,0,0,0,0,0,0,0,0
"327",0,0,1,1,0,0,1,0,1,0
"328",0,0,0,1,0,0,1,0,0,0
"329",0,1,0,0,0,0,0,0,0,0
"330",0,1,0,0,0,0,0,1,0,0
"331",0,0,0,0,1,0,1,0,0,0
"332",0,0,0,1,0,0,0,1,0,0
"333",0,0,1,0,0,0,0,1,1,0
"334",1,0,0,0,0,0,1,0,0,0
"335",0,0,0,0,0,0,0,0,1,0
"336",0,0,0,1,1,0,1,1,1,0
"337",0,0,0,1,1,0,0,0,0,0
"338",1,0,0,0,0,0,1,0,0,0
"339",0,0,0,0,1,0,0,0,0,0
"340",0,0,1,0,0,1,0,0,0,0
"341",1,1,0,0,0,0,1,0,0,1
"342",0,0,0,1,0,1,0,0,1,0
"343",0,0,1,0,0,0,0,0,0,0
"344",0,1,0,1,1,0,1,0,0,0
"345",0,0,0,0,0,0,0,1,0,0
"346",1,1,0,0,0,0,0,1,1,0
"347",0,0,0,0,0,0,0,0,0,1
"348",0,0,0,0,0,0,0,0,0,1
"349",0,0,0,0,0,0,0,0,0,0
"350",1,0,0,0,1,1,0,0,0,0
"351",1,1,0,0,1,0,0,0,0,0
"352",1,0,0,1,0,0,1,0,0,1
"353",0,0,0,1,0,0,0,0,0,0
"354",0,1,0,0,1,0,0,0,0,0
"355",0,1,0,0,0,1,0,1,0,1
"356",0,0,0,0,0,0,0,1,1,0
"357",0,1,1,1,0,1,0,0,1,1
"358",0,0,1,0,1,0,0,0,0,1
"359",0,0,1,0,0,0,1,0,0,0
"360",0,1,0,0,0,0,0,0,0,0
"361",0,1,0,0,0,0,0,0,1,1
"362",1,0,0,0,0,0,1,1,0,0
"363",0,0,1,0,0,0,0,0,0,1
"364",1,0,0,1,1,1,0,1,0,0
"365",0,0,1,0,0,0,0,1,1,0
"366",0,0,0,1,0,0,0,0,0,0
"367",1,0,0,0,0,1,0,1,0,0
"368",0,1,1,0,0,0,0,0,0,0
"369",0,0,1,0,0,1,1,0,0,0
"370",0,0,0,1,1,1,0,0,0,0
"371",0,0,0,0,0,1,1,0,1,1
"372",1,0,0,0,0,0,0,1,0,0
"373",1,0,1,0,0,1,0,0,0,0
"374",0,0,1,0,0,1,0,1,1,0
"375",0,1,0,1,1,0,0,0,0,0
"376",0,0,0,1,1,0,0,0,0,1
"377",0,1,0,0,0,0,1,1,0,0
"378",1,1,1,0,0,0,0,0,0,0
"379",0,0,0,0,0,0,0,0,0,0
"380",1,0,0,0,0,0,0,1,0,0
"381",0,0,1,0,1,0,1,0,0,0
"382",0,0,0,0,0,0,0,0,0,0
"383",0,0,1,0,1,0,1,0,1,0
"384",1,0,0,0,0,1,0,0,0,0
"385",0,0,1,1,1,1,0,1,0,0
"386",1,0,0,1,0,0,1,0,0,0
"387",1,0,0,1,0,0,0,0,1,1
"388",0,0,1,0,0,0,0,0,0,0
"389",0,1,1,0,0,0,0,0,0,0
"390",1,0,0,0,1,0,0,0,0,0
"391",0,0,0,0,0,1,1,1,1,0
"392",0,0,0,0,0,0,0,1,0,0
"393",0,0,0,0,0,1,1,0,0,1
"394",1,0,0,0,1,1,1,1,0,0
"395",1,0,0,0,0,0,1,0,0,0
"396",0,0,0,0,0,0,0,0,0,1
"397",0,1,1,1,0,0,1,1,1,0
"398",0,0,0,0,0,1,0,0,0,1
"399",0,0,0,1,1,0,0,0,1,0
"400",0,0,0,1,1,0,0,0,0,0
"401",0,1,1,0,0,0,1,0,0,0
"402",0,0,0,0,0,0,0,0,0,1
"403",0,0,0,0,0,0,0,0,0,0
"404",0,1,0,0,0,0,0,0,0,1
"405",0,0,1,0,0,0,0,0,1,1
"406",0,1,0,1,1,1,0,0,0,0
"407",0,0,0,0,0,0,0,0,1,1
"408",0,1,0,0,1,0,0,1,0,0
"409",0,0,0,0,0,0,1,0,0,0
"410",1,0,0,0,0,1,0,0,0,1
"411",0,1,0,1,0,0,0,0,1,0
"412",0,1,0,0,0,0,0,0,0,0
"413",0,0,0,0,0,0,0,0,0,0
"414",0,0,0,0,0,0,0,0,1,0
"415",0,0,0,1,0,1,0,1,1,0
"416",0,0,0,0,0,0,0,0,0,1
"417",0,1,0,0,1,0,0,1,1,1
"418",0,1,0,0,1,1,0,0,0,0
"419",0,0,1,1,1,0,0,0,0,0
"420",1,0,1,0,1,0,0,0,0,1
"421",1,0,1,1,0,0,0,0,1,1
"422",0,0,0,0,0,0,0,0,1,1
"423",0,0,0,0,1,0,1,0,1,0
"424",0,0,0,0,1,0,1,1,0,1
"425",0,0,0,0,0,0,1,0,0,0
"426",1,1,0,0,1,0,0,0,0,0
"427",0,0,0,0,0,0,1,1,1,0
"428",0,0,0,1,0,0,1,0,0,0
"429",0,0,0,0,0,1,0,0,0,0
"430",0,1,0,0,0,0,0,0,0,0
"431",0,0,1,0,0,0,0,0,0,1
"432",0,0,0,1,0,1,0,0,0,0
"433",0,0,0,0,0,1,0,1,0,1
"434",0,1,0,0,0,1,0,1,0,0
"435",1,0,1,0,0,0,0,0,0,0
"436",1,0,0,1,0,0,1,0,0,0
"437",1,0,1,0,1,1,0,0,0,0
"438",1,0,0,0,1,0,1,0,0,0
"439",0,0,1,0,1,1,1,0,0,0
"440",1,0,1,0,0,0,1,0,0,0
"441",0,1,1,0,0,0,0,0,0,0
"442",0,1,0,1,0,1,0,0,0,0
"443",1,0,0,0,0,0,0,0,1,0
"444",0,0,1,0,0,1,1,0,0,0
"445",1,0,0,1,1,0,0,0,0,1
"446",0,0,1,0,1,0,1,1,1,0
"447",0,0,1,0,0,0,0,0,0,0
"448",0,0,0,0,0,0,0,0,0,1
"449",1,1,1,0,0,0,0,1,0,0
"450",0,0,0,0,0,0,0,0,0,0
"451",0,0,0,1,0,0,0,1,1,0
"452",0,0,0,0,0,1,0,0,0,0
"453",0,0,0,1,0,1,0,0,0,0
"454",0,1,0,0,0,0,0,0,1,0
"455",1,1,0,0,0,0,0,1,1,0
"456",0,1,0,0,0,0,0,1,1,1
"457",0,0,0,1,0,0,0,0,0,0
"458",0,0,0,1,0,0,0,0,0,0
"459",0,0,0,1,0,1,0,1,0,0
"460",0,0,0,0,1,0,0,0,0,0
"461",0,1,0,0,0,0,1,0,0,0
"462",1,1,0,0,0,0,0,1,0,1
"463",0,0,0,0,1,1,0,0,1,1
"464",0,0,0,0,0,0,0,1,0,0
"465",0,0,0,0,0,0,0,1,0,0
"466",1,0,0,1,0,0,1,0,0,1
"467",0,0,0,0,0,0,0,0,0,0
"468",0,0,0,0,0,0,0,0,1,0
"469",0,1,0,0,0,0,0,0,1,0
"470",0,0,0,0,0,0,1,0,0,1
"471",0,0,0,1,0,0,0,0,0,0
"472",0,0,1,0,0,1,0,0,0,0
